"","seq_orgao","seq_orgao_pai","latitude","longitude","placeId"
"90","10078","1925.0",-21.9944,-49.4577,"ChIJSeTUkG2sv5QR3M2K4Gt9sXs"
"91","10079","1925.0",-21.9944,-49.4577,"ChIJSeTUkG2sv5QR3M2K4Gt9sXs"
"92","1008","13627.0",-20.7636,-45.9157,"ChIJ5Vub1gg2tJQRlYugrINXLwU"
"93","10080","1931.0",-22.2711,-51.4939,"EkBSLiBBbnTDtG5pbyBkZSBBbG1laWRhLCA1MjUsIFBpcmFwb3ppbmhvIC0gU1AsIDE5MjAwLTAwMCwgQnJhemlsIhsSGQoUChIJ4Y8r_MGNk5QRBkhWOJR1wigQjQQ"
"94","10081","1931.0",-22.2711,-51.4939,"EkBSLiBBbnTDtG5pbyBkZSBBbG1laWRhLCA1MjUsIFBpcmFwb3ppbmhvIC0gU1AsIDE5MjAwLTAwMCwgQnJhemlsIhsSGQoUChIJ4Y8r_MGNk5QRBkhWOJR1wigQjQQ"
"95","10082","1933.0",-22.0301,-47.4171,"ChIJT2AZNsIAyJQRoFvCptu2pRg"
"96","10083","1933.0",-21.9965,-47.4233,"ChIJn_RZ7cMAyJQRwhl8rhCT3ag"
"97","10084","1933.0",-21.9965,-47.4233,"ChIJn_RZ7cMAyJQRwhl8rhCT3ag"
"98","10085","1933.0",-21.9975,-47.428,"ChIJhXhC6sAAyJQRDNNfgi7aD_o"
"99","10086","1933.0",-21.9954,-47.4272,"ChIJAQCUTcAAyJQRRN4RrEBtK3Q"
"100","10087","1935.0",-22.4116,-49.1362,"ChIJLadkFcJjv5QR1Ww_cn8olKw"
"101","10088","1943.0",-21.0091,-48.2137,"ChIJPYlgRpF8uZQRhJsTtdCaoe8"
"102","10089","1943.0",-21.0091,-48.2137,"ChIJPYlgRpF8uZQRhJsTtdCaoe8"
"103","1009","13643.0",-22.5352,-42.9899,"ChIJOwdIj2u6mQARheVNDKhxl2E"
"104","10090","1952.0",-23.529,-46.3636,"ChIJc5cJ7i9lzpQRzX5PNgCp5NM"
"105","10091","1952.0",-23.529,-46.3636,"ChIJc5cJ7i9lzpQRzX5PNgCp5NM"
"106","10092","1952.0",-23.5214,-46.3434,"ChIJIzfOJyB7zpQRnkOTYNoH00M"
"107","10093","1952.0",-23.5214,-46.3434,"ChIJIzfOJyB7zpQRnkOTYNoH00M"
"108","10094","1952.0",-23.5214,-46.3434,"ChIJIzfOJyB7zpQRnkOTYNoH00M"
"109","10095","1952.0",-23.5214,-46.3434,"ChIJIzfOJyB7zpQRnkOTYNoH00M"
